@RELATION Models/svm
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Good,Bad}

@DATA
0.050964,0.013031,3.210481,0.103437,0.144825,0.294258,0.005461,0.078746,-26.117487,1.480142,-0.796327,-0.281027,-0.146812,-0.072245,-0.131994,-0.046166,-0.275039,-0.172040,-0.098490,-0.024936,-0.123429,0.012311,0.008680,0.031440,0.014532,0.015610,0.018432,0.021619,0.013772,0.011637,0.008328,0.009347,0.006253,0.021510,0.012553,0.007669,0.082527,0.025602,0.036018,0.141170,0.004155,0.026371,1.566071,0.488335,0.451881,0.362400,0.376363,0.342347,0.312002,0.324387,0.335869,0.318969,0.318542,0.262738,0.254644,0.013384,0.010495,0.028736,0.016229,0.016634,0.022433,0.025965,0.016716,0.012850,0.008704,0.010642,0.008171,0.010681,Good
0.035847,0.003356,3.079822,0.125885,0.202402,0.101957,0.010174,0.041433,-29.802150,2.611719,-0.704439,0.165584,-0.235784,0.032377,-0.060236,-0.036149,-0.123350,0.021851,-0.013404,0.022455,-0.043814,0.011321,0.008093,0.036428,0.011096,0.022333,0.013847,0.084796,0.005064,0.011394,0.012582,0.015980,0.006132,0.035242,0.017301,0.005208,0.167448,0.040639,0.035179,0.096489,0.007752,0.026299,1.816188,0.531605,0.501199,0.341982,0.311747,0.289126,0.268229,0.275050,0.272911,0.266347,0.246741,0.215393,0.195974,0.013624,0.012137,0.037017,0.013699,0.022678,0.018152,0.049467,0.009410,0.015630,0.014072,0.016338,0.008797,0.014683,Good
0.025472,0.006201,3.192502,0.083954,0.160493,0.053616,0.007766,0.034831,-27.266150,3.044476,-0.721910,0.025342,-0.382455,0.001339,-0.142686,0.105392,-0.258222,-0.012953,-0.179221,-0.074793,-0.133458,0.016730,0.013503,0.027373,0.011065,0.024012,0.010528,0.016443,0.003010,0.008547,0.020782,0.027309,0.008226,0.022119,0.009068,0.006019,0.113121,0.026090,0.034839,0.061804,0.005655,0.016463,1.641064,0.721159,0.563641,0.360277,0.423835,0.303390,0.286066,0.268207,0.301909,0.296781,0.292801,0.261910,0.277559,0.024223,0.020184,0.033212,0.014241,0.024109,0.014885,0.020696,0.006800,0.012732,0.018851,0.025644,0.013599,0.010473,Good
0.032645,0.007971,3.201773,0.091020,0.154573,0.135438,0.006471,0.045375,-26.559158,2.285287,-0.575274,0.080954,-0.138841,-0.238687,-0.262469,-0.041933,-0.090102,-0.069102,-0.062857,0.024498,-0.022649,0.016490,0.013461,0.016587,0.013345,0.025036,0.018886,0.019975,0.001755,0.013727,0.010546,0.026961,0.008055,0.024100,0.011298,0.007477,0.105578,0.023074,0.031755,0.108187,0.004204,0.017546,1.491207,0.583003,0.408086,0.381126,0.345363,0.349402,0.358861,0.387150,0.400589,0.405272,0.331535,0.312203,0.260783,0.020012,0.023036,0.018772,0.017745,0.029216,0.025312,0.023481,0.002990,0.017545,0.013367,0.031808,0.010921,0.011350,Good
0.062610,0.008553,3.162763,0.136984,0.183557,0.332550,0.007060,0.084451,-29.541979,2.284132,-1.261066,-0.321822,-0.360716,-0.043854,-0.149328,-0.095384,-0.219872,-0.067185,-0.011749,-0.040045,-0.112251,0.010661,0.015640,0.023206,0.013314,0.012160,0.026501,0.039075,0.005958,0.008306,0.010032,0.014008,0.006484,0.024469,0.017436,0.007298,0.145964,0.038705,0.039581,0.135404,0.005470,0.033941,1.805385,0.585987,0.432112,0.301525,0.268394,0.256117,0.249655,0.250882,0.260663,0.275380,0.283954,0.273504,0.266599,0.012453,0.023505,0.022077,0.015774,0.014977,0.033948,0.032981,0.010505,0.011126,0.011544,0.015166,0.009946,0.013117,Good
0.054844,0.004578,3.187702,0.117551,0.152810,0.401863,0.004950,0.082337,-27.211184,1.515295,-0.270359,0.221393,-0.269224,-0.064406,-0.104878,-0.042978,-0.153638,-0.103564,-0.098888,0.008980,-0.048689,0.029453,0.005562,0.028208,0.018306,0.015139,0.011315,0.020652,0.004428,0.008968,0.014298,0.019078,0.009520,0.020259,0.018679,0.003559,0.138602,0.023857,0.026019,0.231393,0.003359,0.035142,1.119474,0.587917,0.394414,0.294791,0.286250,0.247777,0.260564,0.248959,0.263412,0.270880,0.248114,0.226215,0.196270,0.031907,0.008372,0.024061,0.020737,0.016194,0.014161,0.019242,0.007001,0.011038,0.015429,0.019685,0.011853,0.009838,Good
0.061353,0.011507,3.211808,0.147079,0.196506,0.358113,0.004372,0.087434,-26.806846,2.060374,-0.597980,-0.218953,-0.392429,-0.086637,-0.223140,-0.176409,-0.050542,0.047047,0.071818,-0.003698,0.002445,0.016232,0.011418,0.014172,0.013607,0.016445,0.019994,0.022778,0.004226,0.012207,0.029096,0.018701,0.009845,0.022624,0.019137,0.008490,0.076818,0.025391,0.022311,0.185157,0.003432,0.034016,0.995182,0.483365,0.355650,0.311804,0.303202,0.292288,0.294083,0.290324,0.314345,0.305336,0.280975,0.264005,0.226109,0.020207,0.013301,0.013986,0.015137,0.017516,0.024104,0.021151,0.006514,0.013125,0.027870,0.018295,0.013067,0.010225,Good
0.051322,0.004655,3.182011,0.137353,0.193830,0.270470,0.005564,0.065295,-28.297617,1.776528,-0.805548,-0.226932,-0.316739,-0.182006,0.015761,-0.111153,-0.064874,0.020862,-0.025058,0.087179,0.065135,0.008244,0.007856,0.040482,0.009993,0.013582,0.020430,0.043506,0.007786,0.014871,0.008327,0.017247,0.009877,0.030605,0.015494,0.003904,0.110308,0.030163,0.030886,0.152514,0.004285,0.026230,1.486644,0.626586,0.430618,0.355025,0.347749,0.342275,0.349729,0.326867,0.339693,0.332564,0.325136,0.303529,0.255079,0.010008,0.011735,0.038003,0.013469,0.016190,0.025406,0.036665,0.012296,0.018140,0.011963,0.020995,0.014943,0.013232,Good
0.050038,0.008617,3.129016,0.115939,0.157978,0.418258,0.006837,0.084500,-26.759143,1.884437,0.080067,0.456425,0.064867,0.132788,-0.136952,-0.057343,-0.108866,0.080991,-0.098096,-0.066226,-0.031478,0.015112,0.003756,0.029810,0.012753,0.026287,0.013709,0.030473,0.003347,0.009434,0.022456,0.025631,0.005872,0.023307,0.022753,0.007838,0.228610,0.030226,0.033977,0.272957,0.006967,0.046562,2.165054,0.778442,0.460260,0.353359,0.300107,0.282161,0.278180,0.282394,0.281219,0.277351,0.272765,0.256537,0.234565,0.016875,0.005565,0.029303,0.015298,0.027448,0.018050,0.029453,0.006574,0.012989,0.025910,0.024984,0.010854,0.010275,Good
0.043191,0.006853,3.198864,0.107350,0.160610,0.245649,0.006662,0.065736,-27.332566,1.907816,-0.741766,-0.010728,-0.568687,0.001697,-0.118348,0.081982,0.018076,0.051981,-0.001111,-0.019469,0.023746,0.015364,0.009657,0.019527,0.012592,0.015562,0.010001,0.028480,0.002631,0.012607,0.014600,0.012394,0.010825,0.021318,0.014554,0.005534,0.125804,0.031456,0.039038,0.173489,0.004861,0.028729,1.722442,0.713958,0.443922,0.361737,0.367438,0.338851,0.342185,0.376108,0.355887,0.366590,0.353832,0.297703,0.236704,0.020074,0.014513,0.024918,0.016565,0.018057,0.013940,0.034554,0.004887,0.014769,0.018712,0.014884,0.015655,0.011772,Good
